title,snippet,link
Recurrent residual U-Net for medical image segmentation,"… U-Net, has become one of the most popular for these applications. We propose a recurrent U-Net model and a recurrent residual U-Net … The proposed models utilize the power of U-Net, …",https://www.spiedigitallibrary.org/journals/journal-of-medical-imaging/volume-6/issue-1/014006/Recurrent-residual-U-Net-for-medical-image-segmentation/10.1117/1.JMI.6.1.014006.pdf
An attempt at beating the 3D U-Net,… Our comparison between a simple U-Net architecture on the one hand and residual U-Net architectures on the other yielded inconclusive results: we were unable to declare a clear …,https://arxiv.org/pdf/1908.02182
Optimized U-Net for brain tumor segmentation,"… We propose an optimized U-Net architecture for a brain tumor segmentation task in the … Additionally, we have searched for the optimal depth of the U-Net encoder, number of …",https://arxiv.org/pdf/2110.03352
A u-net based discriminator for generative adversarial networks,"… U-Net based discriminator architecture, borrowing the insights from the segmentation literature. The proposed U-Net based … We evaluate the proposed U-Net GAN model across several …",http://openaccess.thecvf.com/content_CVPR_2020/papers/Schonfeld_A_U-Net_Based_Discriminator_for_Generative_Adversarial_Networks_CVPR_2020_paper.pdf
MultiResUNet: Rethinking the U-Net architecture for multimodal biomedical image segmentation,"… that the classical U-Net architecture seems to be … U-Net model. Following these modifications, we develop a novel architecture, MultiResUNet, as the potential successor to the U-Net …",https://arxiv.org/pdf/1902.04049
LCU-Net: A novel low-cost U-Net for environmental microorganism image segmentation,"… However, the adaptability of U-Net is limited by its single receptive field setting, and the memory cost of U-Net is relatively high in practical work, so we propose a novel Low-cost U-Net (…",https://www.project-10.de/Kosov/files/PRJ_2021.pdf
U-net vs transformer: Is u-net outdated in medical image registration?,"… convolutional block to a vanilla U-Net in order to enhance … the performance of the vanilla U-Net is already comparable with that … to the vanilla U-Net, we show that U-Net can outperform …",https://arxiv.org/pdf/2208.04939
Uctransnet: rethinking the skip connections in u-net from a channel-wise perspective with transformer,… U-Net and observe several major limitations according to our analysis on multiple datasets. We find that it is still challenging for U-Net … issues for the extension of U-Net: which layers of …,https://ojs.aaai.org/index.php/AAAI/article/download/20144/19903
Bu-net: Brain tumor segmentation using modified u-net architecture,"… , U-net cannot be directly applied if we require similar output resolution as that of input. Further, the U-Net … that resembles the U-Net architecture, which uses two-stage U-Net. However, …",https://www.mdpi.com/2079-9292/9/12/2203/pdf
DENSE-INception U-net for medical image segmentation,"… U-Net needs less training resources and can reserve more important feature information. However, the standard U-Net … paper is to make the U-Net deeper and wider without redundant …",https://pure.ulster.ac.uk/files/78473378/AcceptedDenseNet.pdf
Segmentation of roots in soil with U-Net,… requirements when compared to U-Net. We hypothesize that (1) U-Net will be able to … between root length density obtained from U-Net segmentations and root intensity obtained …,https://link.springer.com/content/pdf/10.1186/s13007-020-0563-0.pdf
Modality specific U-Net variants for biomedical image segmentation: a survey,… 1 illustrates that the latest approaches are developed by employing the U-Net framework … of U-Net architectural design developed for segmentation. It is evident that the U-Net model …,https://link.springer.com/content/pdf/10.1007/s10462-022-10152-1.pdf
Automated brain tumor segmentation on multi-modal MR image using SegNet,"… a fully convolutional neural network SegNet to 3D data sets … , the four separately trained SegNet models are integrated by … Experimental results demonstrate that using SegNet models …",https://link.springer.com/content/pdf/10.1007/s41095-019-0139-y.pdf
Liver tumor segmentation in CT scans using modified SegNet,The main cause of death related to cancer worldwide is from hepatic cancer. Detection of hepatic cancer early using computed tomography (CT) could prevent millions of patients’ death …,https://www.mdpi.com/1424-8220/20/5/1516/pdf
EV-SegNet: Semantic segmentation for event-based cameras,"Event cameras, as Dynamic Vision Sensor (DVS), are very promising sensors which have shown several advantages over frame-based cameras. However, most recent works on real …",http://openaccess.thecvf.com/content_CVPRW_2019/papers/EventVision/Alonso_EV-SegNet_Semantic_Segmentation_for_Event-Based_Cameras_CVPRW_2019_paper.pdf
An ensemble architecture of deep convolutional Segnet and Unet networks for building semantic segmentation from high-resolution aerial images,"… network called SegUnet, a combination of Segnet and Unet architectures for building objects … The model has an encoder–decoder architecture that incorporates index pooling (Segnet) …",https://opus.lib.uts.edu.au/bitstream/10453/148623/3/An%20ensemble%20architecture%20of%20deep%20convolutional%20Segnet%20and%20Unet%20networks%20for%20building%20semantic%20segmentation%20from%20high-resolution%20aerial%20images.pdf
COVID-19 lung CT image segmentation using deep learning methods: U-Net versus SegNet,"… We propose to use two known deep learning networks, SegNet and U-NET, for image tissue classification. SegNet is characterized as a scene segmentation network and U-NET as a …",https://link.springer.com/content/pdf/10.1186/s12880-020-00529-5.pdf
AM-SegNet for additive manufacturing in situ X-ray image segmentation and feature quantification,"… learning model, AM-SegNet, for segmenting and quantifying … AM-SegNet incorporates a lightweight convolution block and … Additionally, the application of AM-SegNet to other advanced …",https://www.tandfonline.com/doi/pdf/10.1080/17452759.2024.2325572
Water areas segmentation from remote sensing images using a separable residual segnet network,"… that the proposed SR-SegNet v1 and SR-SegNet v2 in this paper reduce the number of parameters by 65% and 71%, respectively, compared with the classical SegNet, and the training …",https://www.mdpi.com/2220-9964/9/4/256/pdf
Duo-SegNet: adversarial dual-views for semi-supervised medical image segmentation,"… We start this section by providing an overview of the Duo-SegNet (see Fig. 1 for a conceptual … The Duo-SegNet includes two basic modules, a dual view segmentation networks and a …",https://arxiv.org/pdf/2108.11154
"Image segmentation keras: Implementation of segnet, fcn, unet, pspnet and other models in keras","Semantic segmentation plays a vital role in computer vision tasks, enabling precise pixel-level understanding of images. In this paper, we present a comprehensive library for semantic …",https://arxiv.org/pdf/2307.13215
Comparison of multi-class and fusion of multiple single-class SegNet model for mapping karst wetland vegetation using UAV images,… multi-class SegNet model and fusion of multiple single-class SegNet model with different … (3) construction of multi-class SegNet model and fusion of four single-class SegNet models …,https://www.nature.com/articles/s41598-022-17620-2.pdf
Skin lesion segmentation using SegNet with binary CrossEntropy,In this paper a simple and computationally efficient approach as per the complexity has been presented for Automatic Skin Lesion Segmentation using a Deep Learning architecture …,https://www.academia.edu/download/61319526/paper20191124-21798-1159tha.pdf
Brain SegNet: 3D local refinement network for brain lesion segmentation,"… simple brain segmentation network (referred as Brain SegNet), which is a 3D residual … We further applied the proposed Brain SegNet for ischemic stroke lesion outcome prediction…",https://link.springer.com/content/pdf/10.1186/s12880-020-0409-2.pdf
Deep belief networks (DBN) for financial time series analysis and market trends prediction,"… Abstract: Deep Belief Networks (DBNs) represent a … deep learning techniques. By leveraging hierarchical layers of unsupervised Restricted Boltzmann Machines (RBMs), DBNs excel in …",https://adwenpub.com/index.php/wjimt/article/download/327/327
An optimization method for intrusion detection classification model based on deep belief network,"… to protect the network. Deep Belief Network (DBN), as a classic model of deep learning, has … However, the network structure of DBN is generally set through practical experience. For the …",https://ieeexplore.ieee.org/iel7/6287639/6514899/08751965.pdf
Deep belief networks (DBN) with IoT-based alzheimer's disease detection and classification,"… MRI features and Deep Belief Network (DBN) trained with the … patients is demonstrated by the DBN-MOA accuracy of 97.456… , and applicability of the DBN-MOA algorithm developed for …",https://www.mdpi.com/2076-3417/13/13/7833/pdf
An intrusion detection approach based on improved deep belief network,"… deep learning methods, the deep belief network (DBN) … This research is aimed at improving DBN to make the network better … detection approach based on improved DBN is proposed. In …",https://www.researchgate.net/profile/Dezhi-Han/publication/341198133_An_intrusion_detection_approach_based_on_improved_deep_belief_network/links/61a81684ca2d401f27b93c26/An-intrusion-detection-approach-based-on-improved-deep-belief-network.pdf
A developmental approach for training deep belief networks,"… unsupervised learning methods for stochastic neural networks known as Deep Belief Networks (DBNs) [2, 3]. Since their introduction, DBNs have been successfully used in many …",https://link.springer.com/content/pdf/10.1007/s12559-022-10085-5.pdf
An intrusion detection system based on deep belief networks,… performance of Deep Belief Networks (DBNs) on detecting cyber-attacks within a network of … train and evaluate the performance of our proposed DBN approach. Several class balancing …,https://arxiv.org/pdf/2207.02117
"Mapping the susceptibility to landslides based on the deep belief network: a case study in Sichuan Province, China","… using the deep belief network (DBN), a typical model based on deep learning technology, for mapping LS. DBN is a probability generating model. Compared with the neural network of …",https://www.researchgate.net/profile/Zheng-Han-11/publication/342514748_Mapping_the_susceptibility_to_landslides_based_on_the_deep_belief_network_a_case_study_in_Sichuan_Province_China/links/5ef96e3145851550507b0657/Mapping-the-susceptibility-to-landslides-based-on-the-deep-belief-network-a-case-study-in-Sichuan-Province-China.pdf
Deep belief network modeling for automatic liver segmentation,… on deep belief network (DBN) for liver segmentation. The proposed method was based on training by a DBN … The whole method of pretraining and fine tuning is known as DBN-DNN. In …,https://ieeexplore.ieee.org/iel7/6287639/6514899/08632904.pdf
Intrusion detection for IoT based on improved genetic algorithm and deep belief network,… (GA) and deep belief network (DBN). Facing different types of … detection model based on the DBN achieves a high detection … detection model combined with DBN can effectively improve …,https://ieeexplore.ieee.org/iel7/6287639/8600701/08662673.pdf
An improved quantum-inspired differential evolution algorithm for deep belief network,"… As a typical representative of deep learning, deep belief network (DBN) forms a more abstract high-level representation by combining low-level features to discover distributed feature …",https://www.researchgate.net/profile/Wu-Deng-3/publication/340181749_An_Improved_Quantum-Inspired_Differential_Evolution_Algorithm_for_Deep_Belief_Network/links/5f45cfdea6fdcccc4305f469/An-Improved-Quantum-Inspired-Differential-Evolution-Algorithm-for-Deep-Belief-Network.pdf
A study on different deep learning algorithms used in deep neural nets: MLP SOM and DBN,"… However, traditional neural networks SOM, MLP and DBN … DBN with deep learning models [1] and the techniques used to improve the performance of the model. MLP, SOM, and DBN …",https://link.springer.com/content/pdf/10.1007/s11277-022-10079-4.pdf
Medical multimedia big data analysis modeling based on DBN algorithm,"With the development of medical multimedia analysis methods based on DBN, DBN models have gained the ability to surpass medical experts in the evaluation of multimedia in some …",https://ieeexplore.ieee.org/iel7/6287639/6514899/08962052.pdf
Developing a multi-level intrusion detection system using hybrid-DBN,"… of DBN in other applications, a hybrid classification method based on DBN is proposed in this study. The motivation of the study was provided by examining the proposed DBN studies …",https://www.researchgate.net/profile/Ahmet-Suezen/publication/342365811_Developing_a_Multi-Level_Intrusion_Detection_System_Using_Hybrid-DBN/links/60e24f03458515d6fbfd3eaa/Developing-a-Multi-Level-Intrusion-Detection-System-Using-Hybrid-DBN.pdf
An efficient network behavior anomaly detection using a hybrid DBN-LSTM network,"… (DBN) and long short-term memory (LSTM) networks is proposed. First, a nonlinear feature extraction method using a DBN is … on a DBN by comparing the current approach without DBN-…",https://www.researchgate.net/profile/Aiguo-Chen-3/publication/357513537_An_Efficient_Network_Behavior_Anomaly_Detection_using_a_Hybrid_DBN-LSTM_Network/links/6426f42b66f8522c38e924e1/An-Efficient-Network-Behavior-Anomaly-Detection-using-a-Hybrid-DBN-LSTM-Network.pdf
Application of DBN and GWO-SVM in analog circuit fault diagnosis,"… Thirdly, the DBN can solve problems regarding the … a DBN and GWO-optimized SVM for fault diagnosis. First, the different initial fault modes of the analog circuit are set; then, the DBN is …",https://www.nature.com/articles/s41598-021-86916-6.pdf
Deep belief networks (DBN) for financial time series analysis and market trends prediction,"… data in the financial market, a [4-6] DBN (Deep Belief Network) model can be employed to … as the input for the DBN deep learning model. Consequently, a DBN-based deep learning …",https://adwenpub.com/index.php/wjimt/article/download/327/327
A DBN‐Based Deep Neural Network Model with Multitask Learning for Online Air Quality Prediction,"… ability of DBN and the … -DBN-DNN), pretrained by a deep belief network (DBN), is proposed for forecasting of nonlinear systems and tested on the forecast of air quality time series. DBN …",https://onlinelibrary.wiley.com/doi/pdf/10.1155/2019/5304535
An overview of restricted Boltzmann machines,"… To reduce the complexity of learning, the connectivity structure of the BM is restricted15, 19, 42. This model is called the restricted Boltzmann machine (RBM). The RBM model has …",https://journal.iisc.ac.in/index.php/iisc/article/download/4765/5052
Restricted Boltzmann machine: Recent advances and mean-field theory,… with restricted Boltzmann machine (RBM) under the light of statistical physics. The RBM is a classical family of machine … First the functioning of the RBM can be analyzed via the phase …,https://arxiv.org/pdf/2011.11307
Restricted boltzmann machine and deep belief network: Tutorial and survey,"… We introduce conditional RBM and how it is trained. Finally, we explain deep belief network as a stack of RBM models. This paper on Boltzmann machines can be useful in various …",https://arxiv.org/pdf/2107.12521
Experiment improvement of restricted Boltzmann machine methods for image classification,"… automated incremental learning algorithm that can be used in the deep architecture, and we will use other advanced types of RBM like Gaussian RBM and Deep Boltzmann Machines. …",https://www.worldscientific.com/doi/pdf/10.1142/S2196888821500184
Entanglement transitions from restricted Boltzmann machines,… We study the entanglement scaling of short-range restricted Boltzmann machine (RBM) … Our work establishes the presence of long-range correlated phases in RBM-based wave …,https://link.aps.org/accepted/10.1103/PhysRevB.104.104205
Restricted Boltzmann machines as models of interacting variables,"… In order to understand the effect of the choice of a particular architecture on the representational power of the corresponding RBM, namely, the subset of distributions that the RBM is …",https://arxiv.org/pdf/2103.15917
Random batch methods (RBM) for interacting particle systems,"We develop Random Batch Methods for interacting particle systems with large number of particles. These methods use small but random batches for particle interactions, thus the …",https://www.sciencedirect.com/science/article/am/pii/S0021999119305741
Jointly network: a network based on CNN and RBM for gesture recognition,"… , RBM-based multi-layer network is mostly used. Each of them has its own shortcomings. RBM-… And then, we introduce CNN and RBM networks and propose a jointly network based on …",https://researchportal.port.ac.uk/files/12186719/Jointly_network_a_network_based_on_CNN_and_RBM_for_gesture_recognition_Proof.pdf
Omicron SARS-CoV-2 mutations stabilize spike up-RBD conformation and lead to a non-RBM-binding monoclonal antibody escape,"Omicron SARS-CoV-2 is rapidly spreading worldwide. To delineate the impact of emerging mutations on spike’s properties, we performed systematic structural analyses on apo …",https://www.nature.com/articles/s41467-022-32665-7.pdf
Outperforming RBM feature-extraction capabilities by “dreaming” mechanism,"… , and compare them to the RBM reference. We find that, in a … and find that the DBM again outperforms the RBM reference. … Interestingly, the DBM outperforms the RBM, and we discuss …",https://iris.uniroma1.it/bitstream/11573/1658172/1/Fachech_Outperforming%20RBM_2022.pdf
Learning from results-based management evaluations and reviews,What have we learned from implementing results-based management in development co-operation organisations? What progress and benefits can be seen? What are the main …,https://www.diva-portal.org/smash/get/diva2:1376348/FULLTEXT01.pdf
Sustainable regenerated binding materials (RBM) utilizing industrial solid wastes for soil and aggregate stabilization,"This study presents an experimental investigation on a sustainable regenerated binding material (RBM), which is derived from several industrial solid wastes. Initially, the hydration …",https://www.academia.edu/download/116839435/j.jclepro.2020.12299120240716-1-8bvhkf.pdf
Sentiment analysis and feature extraction using rule-based model (RBM),"In the current era, each and every individual get benefited with available information on Internet that is used in decision-making by perceiving others’ attitude, opinions, sentiments, and …",https://www.researchgate.net/profile/Ashwini-Kumar-44/publication/329073021_Sentiment_Analysis_and_Feature_Extraction_Using_Rule-Based_Model_RBM_Proceedings_of_ICICC_2018_Volume_2/links/5dfc951b299bf10bc3694cf1/Sentiment-Analysis-and-Feature-Extraction-Using-Rule-Based-Model-RBM-Proceedings-of-ICICC-2018-Volume-2.pdf
Defining a de novo non-RBM antibody as RBD-8 and its synergistic rescue of immune-evaded antibodies to neutralize Omicron SARS-CoV-2,"Currently, monoclonal antibodies (MAbs) targeting the SARS-CoV-2 receptor binding domain (RBD) of spike (S) protein are classified into seven classes based on their binding epitopes…",https://www.pnas.org/doi/pdf/10.1073/pnas.2314193120
Toward a SARS-CoV-2 VLP Vaccine: HBc/G as a Carrier for SARS-CoV-2 Spike RBM and Nucleocapsid Protein-Derived Peptides,"… (RBM) is considered the most important region due to its direct interaction with the ACE2 receptor [27,28]. As the RBM … production of RBM-containing fusion proteins; thus, the RBM was …",https://www.mdpi.com/2076-393X/12/3/267/pdf
RBM-MHC: a semi-supervised machine-learning method for sample-specific prediction of antigen presentation by HLA-I alleles,… RBM-MHC can be trained on custom and newly available samples with no or a small amount of HLA annotations. RBM-… RBM-MHC is shown to be a flexible and easily interpretable …,https://www.cell.com/cell-systems/pdfExtended/S2405-4712(20)30456-7
AP205 VLPs based on dimerized capsid proteins accommodate RBM domain of SARS-CoV-2 and serve as an attractive vaccine candidate,"… RBM in bacteria is a valuable strategy to fight the pandemic [7]. Accordingly, we have chosen RBM … This resulted in the formation of immunogenic VLPs displaying RBM on the surface of …",https://www.mdpi.com/2076-393X/9/4/403/pdf
A survey on contrastive self-supervised learning,"… Self-supervised learning has gained popularity because of its ability to avoid the cost of … , contrastive learning has recently become a dominant component in self-supervised learning for …",https://www.mdpi.com/2227-7080/9/1/2/pdf
Self-supervised learning: A succinct review,… detailed literature on self-supervised learning as well as its … images learn from their visual features using self-supervised … self-supervised learning as well as different types of learning…,https://link.springer.com/content/pdf/10.1007/s11831-023-09884-2.pdf
S4l: Self-supervised semi-supervised learning,"… results [16], purely self-supervised techniques learn visual … We hypothesize that self-supervised learning techniques … to its widespread use in self-supervised learning methods, and to …",https://openaccess.thecvf.com/content_ICCV_2019/papers/Zhai_S4L_Self-Supervised_Semi-Supervised_Learning_ICCV_2019_paper.pdf
Self-supervised learning: Generative or contrastive,"… of self-supervised learning. We also present our categorization of self-supervised learning … From Sections 3, 4, and 5, we will introduce the empirical self-supervised learning methods …",https://arxiv.org/pdf/2006.08218
Graph self-supervised learning: A survey,"… Under the umbrella of graph self-supervised learning, we … CV [19], or self-supervised contrastive learning [35], while this … to the recent surveys on graph selfsupervised learning [36], [37]…",https://arxiv.org/pdf/2103.00111
Self-supervised learning for videos: A survey,"… ideas that advance self-supervised learning in the video and … existing approaches on self-supervised learning focusing on … learning objectives: (1) pretext tasks, (2) generative learning, …",https://arxiv.org/pdf/2207.00419&hl=en&sa=X&d=15794184987588458551&ei=JlDIYvfCDI72mgGq9JnICA&scisig=AAGBfm2sXdyykZM8AJ4a40Zb2AQxMtc78g&oi=scholaralrt&hist=T8vcOB4AAAAJ:638887244561382899:AAGBfm2bvDkZCbRhR9JkATjvxq-zIoNHhA&html=&pos=1&folt=cit
Self-supervised learning in remote sensing: A review,"… , documenting progress in self-supervised visual representation learning and how it did … selfsupervised visual representation learning. ◗ We summarize a taxonomy of self-supervised …",https://arxiv.org/pdf/2206.13188.pdf?trk=public_post_comment-text
Big self-supervised models are strong semi-supervised learners,"… Motivated by recent advances in self-supervised learning of visual representations [16–20, 1… for semi-supervised learning on ImageNet [21]. During self-supervised pretraining, images …",https://proceedings.neurips.cc/paper/2020/file/fcbc95ccdd551da181207c0c1400c655-Paper.pdf
Self-supervised learning of pretext-invariant representations,"… in self-supervised learning from images on several popular benchmarks for self-supervised learning… Despite being unsupervised, PIRL outperforms supervised pre-training in learning …",https://openaccess.thecvf.com/content_CVPR_2020/papers/Misra_Self-Supervised_Learning_of_Pretext-Invariant_Representations_CVPR_2020_paper.pdf
Using self-supervised learning can improve model robustness and uncertainty,"… In this paper, we applied self-supervised learning to improve the robustness and uncertainty of deep learning models beyond what was previously possible with purely supervised …",https://proceedings.neurips.cc/paper/2019/file/a2b15837edac15df90721968986f7f8e-Paper.pdf
Audio self-supervised learning: A survey,"Similar to humans' cognitive ability to generalize knowledge and skills, self-supervised learning (SSL) targets discovering general representations from large-scale data. This, through …",https://www.cell.com/patterns/pdf/S2666-3899(22)00241-0.pdf
"Data2vec: A general framework for self-supervised learning in speech, vision and language","… While the general idea of self-supervised learning is identical across modalities, the actual … self-supervised learning, we present data2vec, a framework that uses the same learning …",https://proceedings.mlr.press/v162/baevski22a/baevski22a.pdf
Self-supervised learning methods and applications in medical imaging analysis: A survey,… directions in self-supervised learning approaches for image … of the most recent self-supervised learning methods from the … in the field of self-supervised learning in medical imaging …,https://peerj.com/articles/cs-1045.pdf
Prottrans: Toward understanding the language of life through self-supervised learning,… We also assessed the information captured during selfsupervised pre-training of our protein LMs by using embeddings extracted from those models as sole input for supervised training. …,https://ieeexplore.ieee.org/iel7/34/4359286/09477085.pdf
Self-supervised learning from a multi-view perspective,… empirical perspectives on self-supervised learning. We show that the self-supervised learned … We believe this work sheds light on the advantages of self-supervised learning and may …,https://arxiv.org/pdf/2006.05576
Vicregl: Self-supervised learning of local visual features,"… have been used in self-supervised learning, and our work … in most standard self-supervised learning benchmarks. In order to … other global and local selfsupervised learning methods, all …",https://proceedings.neurips.cc/paper_files/paper/2022/file/39cee562b91611c16ac0b100f0bc1ea1-Paper-Conference.pdf
Unsupervised representation learning for time series: A review,"… of unsupervised representation learning approaches for time … evolving unsupervised representation learning approaches … , named ULTS (ie, Unsupervised Learning for Time Series), …",https://arxiv.org/pdf/2308.01578
A theoretical analysis of contrastive unsupervised representation learning,… This paper concerns unsupervised representation learning: using unlabeled data to learn a representation function f such that replacing data point x by feature vector f(x) in new …,https://arxiv.org/pdf/1902.09229
A theoretical analysis of contrastive unsupervised representation learning,… This paper concerns unsupervised representation learning: using unlabeled data to learn a representation function f such that replacing data point x by feature vector f(x) in new …,http://proceedings.mlr.press/v97/saunshi19a/saunshi19a.pdf
Tile2vec: Unsupervised representation learning for spatially distributed data,"… To fill this gap, we introduce Tile2Vec, an unsupervised representation learning algorithm that extends the distributional hypothesis from natural language — words appearing in similar …",https://aaai.org/ojs/index.php/AAAI/article/view/4288/4166
Continual unsupervised representation learning,… refer to as unsupervised continual learning. The focus is on learning representations without … We demonstrate the efficacy of CURL in an unsupervised learning setting with MNIST and …,https://proceedings.neurips.cc/paper_files/paper/2019/file/861578d797aeb0634f77aff3f488cca2-Paper.pdf
Unsupervised state representation learning in atari,"… We compare various unsupervised representation learning … the ability of different representation learning methods at … Atari 2600 games using the Arcade Learning Environment [ALE, 28]…",https://proceedings.neurips.cc/paper_files/paper/2019/file/6fb52e71b837628ac16539c1ff911667-Paper.pdf
Viewmaker networks: Learning views for unsupervised representation learning,… methods for unsupervised representation learning train … adoption of unsupervised representation learning methods across … : generative models that learn to produce useful views …,https://arxiv.org/pdf/2010.07432
Simple unsupervised graph representation learning,"… a new contrastive learning method, namely Simple Unsupervised Graph Representation Learning (SUGRL), to achieve effectiveness and scalability for representation learning, as …",https://ojs.aaai.org/index.php/AAAI/article/download/20748/20507
Federated unsupervised representation learning,… a new problem in federated learning called federated unsupervised representation learning (FURL) to learn a common representation model without supervision while preserving data …,https://arxiv.org/pdf/2010.08982
Online deep clustering for unsupervised representation learning,… learning methods have shown remarkable performance in unsupervised representation learning… and network parameters update leads to unstable learning of visual representations. To …,https://openaccess.thecvf.com/content_CVPR_2020/papers/Zhan_Online_Deep_Clustering_for_Unsupervised_Representation_Learning_CVPR_2020_paper.pdf
A large-scale study on unsupervised spatiotemporal representation learning,"… We present a large-scale study on unsupervised spatiotemporal representation learning from videos. With a unified perspective on four recent image-based frameworks, we study a …",https://openaccess.thecvf.com/content/CVPR2021/papers/Feichtenhofer_A_Large-Scale_Study_on_Unsupervised_Spatiotemporal_Representation_Learning_CVPR_2021_paper.pdf
Seco: Exploring sequence supervision for unsupervised representation learning,"… learning has made significant progress and is still dominant in visual representation learning. … In contrast, unsupervised representation learning alleviates the issues by completely …",https://ojs.aaai.org/index.php/AAAI/article/view/17274/17081
Unsupervised scalable representation learning for multivariate time series,… unsupervised general-purpose representation learning for time series. In spite of the increasing amount of work about representation learning … an unsupervised representation learning …,https://proceedings.neurips.cc/paper/2019/file/53c6de78244e9f528eb3e1cda69699bb-Paper.pdf
Aet vs. aed: Unsupervised representation learning by auto-encoding transformations rather than data,"… enough for unsupervised learning since our ultimate goal is not to obtain an accurate estimate of input transformation; instead, we aim at learning a good feature representation to give …",https://openaccess.thecvf.com/content_CVPR_2019/papers/Zhang_AET_vs._AED_Unsupervised_Representation_Learning_by_Auto-Encoding_Transformations_Rather_CVPR_2019_paper.pdf
Evolving losses for unsupervised video representation learning,"… -learning [17] has also been explored. In this paper, we propose a generalized approach to unsupervised representation learning, … improved by unsupervised representation learning. …",http://openaccess.thecvf.com/content_CVPR_2020/papers/Piergiovanni_Evolving_Losses_for_Unsupervised_Video_Representation_Learning_CVPR_2020_paper.pdf
Momentum contrast for unsupervised visual representation learning,"… Unsupervised representation learning is highly successful in … computer vision, where unsupervised methods generally lag … dictionaries, on which unsupervised learning can be based. …",http://openaccess.thecvf.com/content_CVPR_2020/papers/He_Momentum_Contrast_for_Unsupervised_Visual_Representation_Learning_CVPR_2020_paper.pdf
Unsupervised representation learning for time series with temporal neighborhood coding,"… In this paper, we propose a self-supervised framework for learning generalizable representations … We compare our method to recently developed unsupervised representation learning …",https://arxiv.org/pdf/2106.00750
An unsupervised autoregressive model for speech representation learning,… unsupervised autoregressive neural model for learning generic speech representations. In contrast to other speech representation learning … supervised and unsupervised approaches. …,https://arxiv.org/pdf/1904.03240
Propagate yourself: Exploring pixel-level consistency for unsupervised visual representation learning,… unsupervised/supervised methods. Though past evaluations of unsupervised representation learning … vised representation learning and a promising setting for pixel-level approaches. …,https://openaccess.thecvf.com/content/CVPR2021/papers/Xie_Propagate_Yourself_Exploring_Pixel-Level_Consistency_for_Unsupervised_Visual_Representation_Learning_CVPR_2021_paper.pdf
Unsupervised representation learning by predicting random distances,"… As a result, their transformation power is largely reduced for tasks that are unsupervised … unsupervised representation learning techniques to enable downstream unsupervised learning …",https://arxiv.org/pdf/1912.12186
A survey on evolutionary neural architecture search,"… Neural architecture search (NAS) is a type of technology that can design the architectures automatically. Among different methods to realize NAS, the evolutionary computation (EC) …",https://arxiv.org/pdf/2008.10937
Neural architecture search: A survey,"… Currently employed architectures have mostly been developed … interest in automated neural architecture search methods. We … to three dimensions: search space, search strategy, and …",https://www.jmlr.org/papers/volume20/18-598/18-598.pdf
A comprehensive survey of neural architecture search: Challenges and solutions,"… However, the design of the neural architecture heavily relies on the researchers’ prior … let the algorithm automatically design the neural architecture. Neural Architecture Search (NAS) is …",https://arxiv.org/pdf/2006.02903
A survey on neural architecture search,"… formally define the problem of neural architecture search. We denote the space of all datasets as D, the space of all deep learning models as M, and the architecture search space as A. …",https://arxiv.org/pdf/1905.01392
Auto-keras: An efficient neural architecture search system,"… neural architecture search with network morphism is proposed, which utilizes Bayesian optimization to guide through the search … , an edit-distance neural network kernel is constructed. …",https://dl.acm.org/doi/pdf/10.1145/3292500.3330648
Neural architecture search without training,… Designing a neural architecture by hand is a challenging and time-consuming task. It is … This has prompted an abundance of research into neural architecture search (NAS); the …,http://proceedings.mlr.press/v139/mellor21a/mellor21a.pdf
Neural predictor for neural architecture search,… Neural Architecture Search methods are effective but often use complex algorithms to come up with the best architecture. … We will modify their approach to handle neural architectures …,https://arxiv.org/pdf/1912.00848
Evaluating the search phase of neural architecture search,"Neural Architecture Search (NAS) aims to facilitate … search phase. To this end, we compare the quality of the solutions obtained by NAS search policies with that of random architecture …",https://arxiv.org/pdf/1902.08142
Mnasnet: Platform-aware neural architecture search for mobile,"… neural architecture search (MNAS) approach, which explicitly incorporate model latency into the main objective so that the search … balance between flexibility and search space size, we …",http://openaccess.thecvf.com/content_CVPR_2019/papers/Tan_MnasNet_Platform-Aware_Neural_Architecture_Search_for_Mobile_CVPR_2019_paper.pdf
Random search and reproducibility for neural architecture search,"… In line with prior work [49, 39, 32], we consider the two standard benchmarks for neural architecture search: (1) language modeling on the Penn Treebank (PTB) dataset [35] and (2) …",http://proceedings.mlr.press/v115/li20c/li20c.pdf
Nas-bench-101: Towards reproducible neural architecture search,"… search space as a whole. We illustrate such potential by measuring search space properties relevant to architecture search… of open source architecture/hyperparameter search methods, …",http://proceedings.mlr.press/v97/ying19a/ying19a.pdf
Bayesnas: A bayesian approach for neural architecture search,… Search Space Design The search space defines which neural architectures a NAS approach … Designing a good search space is a challenging problem for NAS. Some works (Zoph & Le…,http://proceedings.mlr.press/v97/zhou19e/zhou19e.pdf
Nsga-net: neural architecture search using multi-objective genetic algorithm,"… an evolutionary approach for neural architecture search (NAS)… of the space of potential neural network architectures, and (3) a … search algorithm that explores a space of potential neural …",https://arxiv.org/pdf/1810.03522
Nas-bench-201: Extending the scope of reproducible neural architecture search,… Neural architecture search (NAS) has achieved breakthrough success in a great number of … algorithms search architectures under different search space. These searched architectures …,https://arxiv.org/pdf/2001.00326
